common_name,scientific_name,size_feet,firewise_rating,firewise_rating_code,firewise_rating_label,landscape_zone,slug
white spruce,Picea glauca,40',NOT Firewise (4),4,Not Firewise,LZ3,picea-glauca
white willow,Salix alba,100.0',Firewise (1),1,Firewise,LZ3,salix-alba
whitebarked Himalayan birch,Betula jacquemontii,35',Firewise (1),1,Firewise,LZ3,betula-jacquemontii
Whitespire birch,Betula platyphylla 'Whitespire',35',Firewise (1),1,Firewise,LZ3,betula-platyphylla-whitespire
wild black cherry,Prunus serotina,50',Firewise (1),1,Firewise,LZ3,prunus-serotina
willow oak,Quercus phellos,50',Firewise (1),1,Firewise,LZ3,quercus-phellos
willowleaf cotoneaster,Cotoneaster salicifolia,3',NOT Firewise (4),4,Not Firewise,LZ3,cotoneaster-salicifolia
winged elm,Ulmus alata,50',Firewise (1),1,Firewise,LZ3,ulmus-alata
winter honeysuckle,Lonicera fragrantissima,10',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,lonicera-fragrantissima
Winter King green hawthorn,Crataegus viridis 'Winter King',25',Firewise (1),1,Firewise,LZ2,crataegus-viridis-winter-king
winterberry holly,Ilex verticillata,8',Firewise (1),1,Firewise,LZ2,ilex-verticillata
wintercreeper euonymus,Euonymus fortunei,<2',AT RISK Firewise (3),3,At Risk Firewise,LZ3,euonymus-fortunei
wintergreen,Gaultheria procumbens,1',AT RISK Firewise (3),3,At Risk Firewise,LZ1,gaultheria-procumbens
wintergreen barberry,Berberis julianae,6',Firewise (1),1,Firewise,LZ2,berberis-julianae
wisteria,Wisteria floribunda,50',NOT Firewise (4),4,Not Firewise,LZ4,wisteria-floribunda
yaupon holly,Ilex vomitoria,12',AT RISK Firewise (3),3,At Risk Firewise,LZ2,ilex-vomitoria
yeddo hawthorne,Raphiolepis umbellata,3',AT RISK Firewise (3),3,At Risk Firewise,LZ2,raphiolepis-umbellata
yellow birch,Betula alleghaniensis,50',Firewise (1),1,Firewise,LZ3,betula-alleghaniensis
yellow buckeye,Aesculus flava,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ4,aesculus-flava
yellowroot,Xanthorhiza simplicissima,1',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,xanthorhiza-simplicissima
yellowtwig dogwood,Cornus sericea 'Flaviramea',10',Firewise (1),1,Firewise,LZ2,cornus-sericea-flaviramea
yellowwood,Cladrastis kentukea,40',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,cladrastis-kentukea
Yoshino cherry,Prunus x yedoensis,15',Firewise (1),1,Firewise,LZ3,prunus-x-yedoensis
yucca,Yucca filamentosa,2',AT RISK Firewise (3),3,At Risk Firewise,LZ2,yucca-filamentosa
zenobia,Zenobia pulverulata,3',AT RISK Firewise (3),3,At Risk Firewise,LZ2,zenobia-pulverulata
