usda_symbol,scientific_name,common_name,family,states,habit,duration,height,spread,light,water,soil_moisture,bloom_time,bloom_color,leaf_retention,native_status,distribution,habitat,wildlife,propagation,bloom_notes,conditions_comments,fruit_type,soil_description,state
IRTE,Iris tenax,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,".    The  flower  of  this  species  shows  considerable  variation  in  color.    Large,  delicate,  lavender  to  deep  purple  to  cream  to  yellow  (rarely  white)  flowers,  commonly  with  dark  violet  veins,  grow  at  top  of  short  stalks  in  dense  clumps  of  leaves.  Flowers  usually  occur  singly  but  sometimes  in  pairs.","quickly,  but  will  form  large  clumps.",Part  Shade,Medium,Dry,"Apr ,  May ,  Jun","White ,  Pink ,  Yellow ,  Purple",,L48,USA:,Open  prairies;  logged  land;  open  areas  in  oak  &  conifer  forests,Hummingbirds,Seed Collection:,,"Good  rock  garden  plant.  Does  not  spread  quickly,  but  will  form  large  clumps.",Capsule,"Drier,  well-drained  soils.",OR
JUCOM2,Juniperus communisvar.montana,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,ing,Sun,,,,Not  Applicable,Evergreen,L48,USA:,"Stony,  open  or  lightly  wooded  slopes;  often  at  high  elevations",Valuable  wildlife  habitat  &  food.,Description:,,The  species  J.  communis  is  most  widely  distributed,Caryopsis,"Exposed,  rocky  places.",OR
JUSC2,Juniperus scopulorum,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,of  3-15  ft.,"Sun ,  Part  Shade",Low,Dry,"Apr ,  May",Yellow,Evergreen,L48,USA:,Rocky  or  sandy  hillsides;  mountains,"eat  the  ""berries"".    This  species  is  closely  related  to  Eastern  Redcedar  (",Description:,,Rocky  Mountain  juniper  is  slow-growing.    It  tolerates  drought  and  salt  spray  but  does  not  adapt  to  high  humidity  or  high  night  temperatures.    It  is  susceptible  to  juniper  blight  and  serves  as  an,Caryopsis,"Dry,  rocky  or  sandy  soils.  Rocky  Caliche  type  Sandy,  Sandy  Loam,  Medium  Loam,  Clay  Loam,  Clay.",OR
KALE,Kalmiopsis leachiana,,". If you are not sure what you are looking for, try the","OR,WA",".    The  small,",Perennial,,,Part  Shade,,Moist,,Pink,Evergreen,L48,USA:,"Moist  to  drier,  open  sites",,Description:,,,Capsule,"Moist  to  drier,  peat.",OR
KOMA,Koeleria macrantha,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Sun,High,Dry,"Apr ,  May ,  Jun",Yellow,,L48,USA:,"Dry,  sandy  prairies;  open  woods;  rocky  slopes",,Description:,,"Because  June  grass  is  a  cool-season  grass,  companion  plants  should  be  chosen  to  mask  its  late-summer  dormancy.    On  the  Pacific  coast  there  is  a  rather  large,  loosely  tufted  form  with  a  more  open  seed  head.",Caryopsis,Sandy  or  rocky  soils.,OR
KRLA2,Krascheninnikovia lanata,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,ing,Sun,Low,,"Mar ,  Apr ,  May ,  Jun",White,Deciduous,L48,USA:,Rolling  plains;  rocky  mesas;  scrubby  flats,Department,Description:,,"Winterfat  will  bloom  and  produce  fruits  the  first  year  from  seed.    Must  have  a  male  plant  nearby  for  females  to  produce  flowers.    To  keep  it  bushy,  prune  it  back  in  early  spring.    This  drought  tolerant  plant  is  suitable  for  revegation  purposes  in  alkaline  areas.",,"Clay,  chalky  or  saline  soils.",OR
LAGL5,Layia glandulosa,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Annual,,,Sun,,,"Mar ,  Apr ,  May ,  Jun",White,,L48,USA:,Dry  slopes;  mesas,,Description:,,Lean  soil  is  necessary  to  encourage  flowering  and  keep  plants  from  becoming  leggy.,,Sandy  soils.,OR
LAOC,Larix occidentalis,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,,Sun,Low,"Moist ,  Wet","Mar ,  Apr ,  May",Red,Deciduous,L48,USA:,"Lower,  eastside,  mt.  slopes;  valleys;  swampy  areas.",,Description:,,,Caryopsis,Wet  soils.,OR
LECO5,Lewisia cotyledon,,". If you are not sure what you are looking for, try the","OR,WA","at,  it  finds  the  gentle  environment  of  the  garden  inhospitable;  though  it  may  persist  for  a  number  of  years,  it  ultimately  perishes.",Perennial,,,Part  Shade,,,"Jun ,  Jul","White ,  Pink",,L48,USA:,Rocky  embankments,,Description:,,One  of  the  easiest,Capsule,"Perfectly  drained,  rocky  soils",OR
LEDA,Leucothoe davisiae,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,Part  Shade,,Moist,"Jun ,  Jul ,  Aug",White,Evergreen,L48,USA:,Bogs  &  springy  places;  3200-8500  ft.,,,,Colonizes  readily  from  underground  stems.,Capsule,"Moist,  acidic  soils.",OR
LEGR,Ledum groenlandicum,,". If you are not sure what you are looking for, try the","OR,WA","created  by  many  erect  stems  and  upright,  spreading  branches.    The  smooth,  slightly  cracked,",Perennial,,"ing  branches.    The  smooth,  slightly  cracked,","Sun ,  Part  Shade ,  Shade",Medium,"Moist ,  Wet","May ,  Jun ,  Jul ,  Aug",White,Evergreen,L48,USA:,"Peat  bogs;  cold,  damp  woods;  wet  shores",,Description:,,"Ledum  groenlandicum  is  a  slow-growing,  short-lived",Capsule,"Acid,  wet  to  moist  organic  soils,  peats  &  mucks.",OR
LEMOM2,Leymus mollisssp.mollis,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Sun,Medium,,"Apr ,  May",Yellow,,L48,USA:,Coastal  sand  dunes,,Description:,,"The  creeping  rhizomes  can  be  invasive  in  loose  sands.    European  dune  grass,  Elymus  arenarius  L.,  is  very  similar.    Many  authorities  now  consider  them  as  belonging  to  the  same  species,  E.  arenarius.",Caryopsis,Sands.,OR
LERE7,Lewisia rediviva,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,,"Mar ,  Apr ,  May ,  Jun","White ,  Pink",,L48,USA:,"Rocky  or  gravelly,  wooded  or  brushy  slopes",,Description:,,Bitter  root  is  difficult  to  grow.    It  must  have,Capsule,Loose  rocks.,OR
LICO,Lilium columbianum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,,"Jun ,  Jul ,  Aug ,  Sep",Orange,,L48,USA:,"Ferny  or  brushy,  redwood  forest  slopes;  prairies;  thickets",,Description:,,Bloom  time  depends  on  elevation.,Capsule,Well-drained  soils;  dry  in  summer.,OR
LILEL2,Linum lewisiivar.lewisii,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,".    The  tufted  plant,  with  slender,  leafy  stems,  bears  loose,  much-branched  clusters  of  large,  delicate,  sky-blue  flowers  which  bloom  all  summer.    The  flowers,  funnel-shaped  when  they  open  in  the  morning,  flatten  as  the  day  progresses  and  are  dropped  the  following  day  leaving  a  spherical,  green  seed  capsule.",,Part  Shade,Low,Dry,"Apr ,  May ,  Jun ,  Jul ,  Aug ,  Sep ,  Oct",Blue,,L48,USA:,"Prairies;  open,  rocky  woods;  mesas;  dry  hillsides;  coniferous  forests;  meadows","(1999) Damude, N. & K.C. Bender",Propagation Material:,,This  drought  tolerant  wildflower  is  often  a  component  of  wildflower  mixes.    It  is  a  short-lived,Capsule,"Sandy  or  rocky  soils.      Sandy,  Sandy  Loam,  Medium  Loam,  Clay  Loam,  Clay,  Limestone-based,  Caliche  type",OR
LOCI3,Lonicera ciliosa,,". If you are not sure what you are looking for, try the","OR,WA",Vine,Perennial,,,"Sun ,  Part  Shade ,  Shade",,Moist,"May ,  Jun ,  Jul","Orange ,  Yellow",Deciduous,L48,USA:,Open  woods  &  thickets,.,Description:,,,Berry,Mesic  soils.,OR
LUBI,Lupinus bicolor,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Annual,".  A  usually  small,  grayish,  hairy,  branched  plant  with  palmately",,Sun,,,"Mar ,  Apr ,  May ,  Jun",Blue,,L48,USA:,Sandy  places  below  3000  ft.,,Description:,,,Caryopsis,Sandy  soils.,OR
LUPE,Luetkea pectinata,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,Moist,"Jun ,  Jul ,  Aug",White,,L48,USA:,"Moist  or  shaded,  mt.  areas,  usually  where  snow  persists  late  in  the  season",,Description:,,A  useful  and  adaptable  ground  cover.,Aggregate,"Moist,  well-drained  soils.",OR
LUPO2,Lupinus polyphyllus,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Sun ,  Part  Shade",,"Dry ,  Moist",May,"Pink ,  Blue ,  Purple",,L48,USA:,"Primarily  streambanks,  meadows  &  other  moist  or  wet  places.    Also  grows  on  mesic  soils.","Hummingbirds,  Butterflies",Description:,,,Caryopsis,"Moist,  cool  soils.",OR
LUSE4,Lupinus sericeus,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,"from  1-2  ft.,  and  are  clumped  together  on  a  coarse,  branching  root  crown.    Leaves  are  palmately",,"Sun ,  Part  Shade ,  Shade",Low,"Dry ,  Moist","Jun ,  Jul ,  Aug","Blue ,  Purple",,L48,USA:,Dry  to  moist  valleys  &  mts.  to  7000  ft.,"Birds,  Hummingbirds.",Description:,,,Caryopsis,Moist  to  dry  soils.,OR
MAAQ2,Mahonia aquifolium,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Part  Shade ,  Shade",Low,Dry,"Mar ,  Apr ,  May",Yellow,Evergreen,L48,USA:,"Deep,  conifer  forests;  open,  rocky  woods",and  make  good  jelly.,Description:,,"Protect  this  plant  from  drying  winter  winds.    Leaf  scorch  can  be  severe.    Barberry  aphids,  scale  and  whiteflies  can  be  a  problem.",Berry,"Moist,  well-drained,  acid  loams.",OR
MADI,Maianthemum dilatatum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,"s  by  underground  roots,  makes  an  attractive  ground  cover  in  woodland  gardens.",Shade,,"Moist ,  Wet","May ,  Jun ,  Jul",White,,L48,USA:,"Moist,  shaded  stream  banks  &  woods",,Description:,,"An  extremely  aggressive  ground  cover  that  should  be  used  with  caution  as  it  ""seems  happiest  when  invading  areas  where  it  is  not  wanted.""  Will  grow  in  nutrient  poor  sites.",Berry,Moist  soils.,OR
MANE2,Mahonia nervosa,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",Low,"Dry ,  Moist","Apr ,  May ,  Jun",Yellow,Evergreen,L48,USA:,Wooded  slopes  below  6000  ft.,,Description:,,Slow  to  establish.,Berry,"Rich,  well-drained  soils.",OR
MARAR,Maianthemum racemosumssp.racemosum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,perennial,"Part  Shade ,  Shade",Medium,Moist,"Mar ,  Apr ,  May ,  Jun",White,,L48,USA:,Woods;  clearings;  bluffs,Birds  and  small  mammals  eat  this  plant's  berries.  Deer  browse  leaves.,Propagation Material:,,"Though  it  prefers  moist,",Berry,"Deep,  humus-rich,  acid  soils.",OR
MARE11,Mahonia repens,,". If you are not sure what you are looking for, try the","OR,WA","with  small,  fragrant,  yellow  flowers  in  drooping  racemes,  followed  by  showy,  purple  fruit.    The  leathery,  holly-like,",Perennial,.,of  underground  stems  can  be  checked  by  occasional  root  pruning.    Water  during  hot  summers.,Part  Shade,Medium,"Dry ,  Moist","Apr ,  May ,  Jun ,  Jul",Yellow,Evergreen,L48,USA:,"Dry,  open  woods  &  hills  at  high  elevations",Fruit,Propagation Material:,"In  Texas,  tends  to  bloom  in  early  April.",Will  not  do  well  in  too  much  heat  or  in  drying  winds.,Berry,"Rich,  well-drained  sandy,  loamy,  chalky,  or  granitic  soils.",OR
MECI3,Mertensia ciliata,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,"over  time,  forming  extensive  patches.",Part  Shade,High,Wet,"Jun ,  Jul ,  Aug",Blue,,L48,USA:,Stream  banks;  wet  meadows;  damp  thickets,,Description:,,Good  air  circulation  is  necessary  to  prevent  mildew  diseases.,Caryopsis,Moist  to  wet  loams  &  sandy  loams.,OR
MELA2,Mentzelia laevicaulis,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Biennial,,,Sun,,,"Jun ,  Jul ,  Aug ,  Sep",Yellow,,L48,USA:,"Sandy,  gravelly  or  talus-covered  slopes  of  mt.  canyons",,Description:,,,Capsule,Gravelly  or  sandy  soils.,OR
MIOB2,Minuartia obtusiloba,,". If you are not sure what you are looking for, try the","OR,WA",",  the  slender,  leafy  stems  lying  on  the  ground  and  ascending  at  the  tip.  Leaves  are  linear  and  old  leaves  clothe  the",Perennial,,,Sun,,Dry,"Jul ,  Aug",White,,L48,USA:,Alpine  meadows  &  rocky  areas,,protocol,,,Capsule,"Dry,  rocky  soil.",OR
MOCA6,Morella californica,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade",Medium,,"Apr ,  May ,  Jun ,  Jul","White ,  Yellow",Evergreen,L48,USA:,Canyons  &  moist  slopes  below  500  ft.,"Attracts  Eastern  Kingbird,  Northern  Mockingbird,  Northern  Flicker,  Red-bellied  Woodpecker,  and  Wood  Thrush  (Audubon  At  Home).",Description:,,This,Caryopsis,"Moist,  well-drained,  slightly  acid  sands  or  loams.",OR
MOOD,Monardella odoratissima,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,,"Jun ,  Jul ,  Aug","White ,  Blue ,  Purple",,L48,USA:,"Wet  or  dry,  rocky,  forest  openings  from  3500-11,000  ft.",,Description:,,,,Sandy  soils.,OR
NONE3,Nothochelone nemorosa,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,Dry,"Jun ,  Jul ,  Aug","Pink ,  Purple",,L48,USA:,"Woods;  moist,  rocky,  shaded  slopes",,,,,Capsule,Rocky  soils.,OR
OECE,Oemleria cerasiformis,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",,"Dry ,  Moist","Feb ,  Mar ,  Apr ,  May","White ,  Green ,  Brown",Deciduous,L48,USA:,Stream  banks;  roadsides;  open  woods,The  fruits  are  a  favorite  of  birds  and  other  wildlife.,Description:,,"Because  of  its  size  and  suckering  habit,  this  is  not  for  choice  places  in  the  formal  garden.    Its  best  uses  are  in  large  woodlands  and  wild,  open  areas  and  for  land  reclamation.",Aggregate,Moist  to  drier  soils.,OR
PAMY,Paxistima myrsinites,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,",  about  700  species;  7","Sun ,  Part  Shade ,  Shade",,Dry,"Mar ,  Apr ,  May ,  Jun ,  Jul ,  Aug","Red ,  Green ,  Purple ,  Brown",Evergreen,L48,USA:,Open  woods;  rocky  glades;  ridge  tops,,Description:,,,Capsule,"Well-drained,  rich  soils.",OR
PEDA2,Penstemon davidsonii,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,,,"Jul ,  Aug",Purple,,L48,USA:,"Rocky,  alpine  &  sub-alpine  woods  &  fields",Hummingbirds,Description:,,Must  have  winter  snowcover.,Capsule,Well-drained  soil  with  some  summer  water.,OR
PEDE4,Penstemon deustus,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,Low,Dry,"May ,  Jun ,  Jul",Yellow,,L48,USA:,"Dry,  rocky  areas  below  8000  ft.",,Description:,,,Capsule,"Dry,  rocky  soils.",OR
PEFR3,Penstemon fruticosus,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,Medium,Dry,"May ,  Jun ,  Jul ,  Aug","Pink ,  Purple",,L48,USA:,"Open,  rocky  or  wooded  foothill  &  higher  elevation  sites",Hummingbirds,Description:,,,Capsule,"Dry,  rocky  soil.",OR
PEGR2,Pedicularis groenlandica,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,High,Moist,"Jun ,  Jul ,  Aug","Pink ,  Purple",,L48,USA:,"Cool,  moist,  mt.  meadows;  6000-11,000  ft.",,Description:,,,Capsule,"Moist,  especially  early,  soils.",OR
PELU5,Peritoma lutea,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Annual,.,,Sun,Low,Dry,"May ,  Jun ,  Jul ,  Aug",Yellow,,L48,USA:,"""Dry  sandy  flats,  desert  scrub,  roadsides;  (100-)600-2400  m.""  (Webref:  3).",,Propagation Material:,,,Capsule,"""Dry  sandy  flats,  desert  scrub,  roadsides.""  (Webref:  3).",OR
PERU,Penstemon rupicola,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,,Dry,"May ,  Jun ,  Jul ,  Aug","Pink ,  Purple",,L48,USA:,"Cliffs,  ledges  &  rocky  slopes,  usually  at  higher  elevations",,Description:,,This  diminutive  penstemon  is  good  for  the  rock  garden.,Capsule,Rocky  soils.,OR
PESE5,Penstemon serrulatus,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,Wet,"Jun ,  Jul ,  Aug","Blue ,  Purple",,L48,USA:,A  variety  of  moist  to  wet  habitats  from  the  coast  to  6000  ft.,Hummingbirds,Description:,,"The  best  penstemon  for  the  mild,  damp  winters  on  the  wet  side  of  the  mountains.",Capsule,Moist  to  wet  soils.,OR
PESE7,Peritoma serrulata,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Annual,.    Can  reach  6  feet  in  height.,,"Sun ,  Shade",Low,"Dry ,  Moist","May ,  Jun ,  Jul ,  Aug ,  Sep","White ,  Purple",,L48,USA:,"""Shortgrass  and  mixed  grass  prairies,  pastures,  pinyon  pine  and  juniper  woodland,  desert  scrub,  roadsides,  stabilized  sand  dunes;  (100-)  300-2500(-2900)  m.""  (Webref:  3).","""Seeds  of  Rocky  Mountain  beeplant  are  used  by  pocket  mice  (",Propagation Material:,"""Petals  purple  (rarely  white).""  (Webref:  3).","""Not  tolerant  of  waterlogging.""  (Webref:  148).",Capsule,"""Most  common  on  well-drained,  moist  to  dry,  medium-textured  to  sandy  soils  with  pH  6  to  7.6,  but  it  also  occurs  on  clay  and  gravel  soils.""  (Webref:  148).",OR
PESP,Penstemon speciosus,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,Low,,"May ,  Jun ,  Jul",Blue,,L48,USA:,Dry  plains;  wooded  or  shrubby  slopes;  3500-8500  ft.,,Description:,,Drought-tolerant.,Capsule,Sandy  or  rocky  soils.,OR
PHCA11,Physocarpus capitatus,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade",Low,"Moist ,  Wet","May ,  Jun ,  Jul",White,Deciduous,L48,USA:,Moist  banks  &  north  slopes  below  4500  ft.,,Description:,,Can  become  drought  tolerant.,Aggregate,Moist  to  drier  soils.,OR
PHDI3,Phlox diffusa,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,"ing Phlox, Mat Phlox",Sun,Low,Dry,"May ,  Jun ,  Jul ,  Aug","White ,  Pink ,  Purple",,L48,USA:,"Dry,  rocky  mt.  sites",,Description:,,Var.  longistylis  occurs  in  the  northern  part  of  the  stated  range;  var.  diffusa  to  the  south.    A  good  choice  for  stabilizing  soil.,Capsule,"Dry,  rocky  soil.",OR
PHEM,Phyllodoce empetriformis,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,Part  Shade,,Moist,"Jun ,  Jul ,  Aug","Pink ,  Purple",Evergreen,L48,USA:,Moist  slopes  above  5000  ft.,,protocol,,"Another  Phyllodoce  species  with  a  similar  range,  P.  glanduliflora,  has  yellow  flowers.    Where  the  two  species  coexist  an  attractive  natural  hybrid,  P.  x  intermedia,  often  results.",Capsule,"Moist,  sandy  or  rocky  soil  with  peat.",OR
PHSE,Phacelia sericea,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Biennial,,,Part  Shade,,,"Jun ,  Jul","White ,  Blue ,  Purple",,L48,USA:,Talus  slopes  of  red  fir  forests  from  7000-8500  ft.,,Description:,,,Capsule,Loose  talus.,OR
PHSPO,Phlox speciosassp.occidentalis,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,,,,"Apr ,  May ,  Jun",Pink,,L48,USA:,Pine  woods  and  sagebrush  plains;  rocky  hillsides;  wooded  slopes,,Description:,,,Capsule,,OR
PIAT,Pinus attenuata,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,,Part  Shade,,Dry,,Not  Applicable,Evergreen,L48,USA:,"Dry  barren,  chalky  or  rocky  pine  or  oak  groves  below  4000  ft.",,Description:,,"Konbcone  pine  has  a  fast  growth  rate  and  is  tolerant  of  wind  and  heat.    P.  x  attenuradiata  is  the  name  given  to  a  commercially  available  hybrid  between  this  species  and  P.  radiata.    This  hybrid  occurs  naturally  near  Swanton  in  Santa  Cruz  Co.,  CA.",Caryopsis,Various  dry  soils.,OR
PIBR,Picea breweriana,,". If you are not sure what you are looking for, try the","OR,WA","serves  to  reduce  breakage  of  branches  by  heavy  snowfall.  Rare  even  as  a  cultivated  ornamental,  this  local  species  is  found  in  five  National  Forests  and  a  special  preserve,  the  Brewer  Spruce  Natural  Area.  It  is  named  for  its  discoverer,  William  Henry  Brewer  (1828-1910),  a  professor  of  agriculture  at  Yale  University  and  co-author  of  ""Botany  of  California.""",Perennial,"for  trees  in  the  wild  is  50-75  ft,  but  can  be  much  taller.",,Part  Shade,Medium,Moist,"Jun ,  Jul",Red,Evergreen,L48,USA:,"Moist,  north-facing  slopes  &  canyons;  4000-8000  ft.",,Description:,,A  very  slow-growing,Caryopsis,Moist  soils.,OR
PICO,Pinus contorta,,". If you are not sure what you are looking for, try the","OR,WA",and  dark-green  needles.    Mature,Perennial,,"ing  crown,  thick,  furrowed",Sun,Medium,Dry,Jun,Yellow,Evergreen,L48,USA:,"Low  elevation,  coastal  areas",,Description:,,"Beach  pine  is  not  particularly  drought  tolerant.    It  is  fast  growing  and  tolerates  salt  spray,  high  winds  and  sterile  dune  soils.",Caryopsis,Rocky  soils.,OR
PICOM,Pinus contortavar.murrayana,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,ing.,Sun,,Dry,,Not  Applicable,Evergreen,L48,USA:,"Dry,  mt.  slopes  &  meadows  from  5000-11,000  ft.",,Description:,,"This  species  often  forms  dense  stands  after  a  fire.    It  must  have  plenty  of  rainfall,  snow  on  the  ground  for  several  months,  and  no  summer  heat.",Caryopsis,"Well-drained,  sandy  or  gravelly  soils.",OR
PIEN,Picea engelmannii,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,"ing  in  close  rows.  Engelmann""âÂ¢s  spruce  is  a  narrow,  spire-like","Sun ,  Part  Shade",Medium,Moist,"Apr ,  May",Yellow,Evergreen,L48,USA:,Mountain  forests,,Description:,,This,Caryopsis,"Moist,  rich,  loamy  soils.",OR
PIMO3,Pinus monticola,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,"ing  when  exposed.    Branchlets  are  stout,  bearing  soft-textured,  blue-green  needles  in  groups  of  five.",Sun,Medium,"Dry ,  Moist",Apr,Yellow,Evergreen,L48,USA:,Vartiety  of  mt.  sites  between  2000-9000  ft.,,Description:,,Strongly  susceptible  to  white  pine  blister  rust.,Caryopsis,Well-drained  soils.,OR
PIPO,Pinus ponderosa,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,.  Branches  are  short  and,ing  branches;  3  distinct  geographic  varieties.,"Sun ,  Part  Shade ,  Shade",Medium,"Dry ,  Moist",Apr,"Red ,  Yellow",Evergreen,L48,USA:,Rocky  hills;  low  elevations  in  mountains,"consume  the  seeds;  and  chipmunks  store  them  in  their  caches,  thus  aiding  dispersal.",Description:,,"This  drought  resistant  pine  tolerates  alkalinity,  salt  and  most  moisture  regimes.    It  is  susceptible  to  root  rot,  blister  rusts  and",Caryopsis,"Deep,  sandy,  gravelly  or  clay  loams.",OR
PISI,Picea sitchensis,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,"ing,  rigidly  branched  and  drooping  branchlets.    It  can  be  much  taller.","Sun ,  Part  Shade ,  Shade",Medium,"Moist ,  Wet","Apr ,  May",Yellow,Evergreen,L48,USA:,Moist  to  swampy  coastal  areas,,Description:,,"Susceptible,  especially  in  the  Pacific  Northwest,  to  defoliation  by  red  spider  and  to  malformation  by  spruce  gall.",Caryopsis,Moist  to  wet  soils.,OR
POBAT,Populus balsamiferassp.trichocarpa,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,of  200+  ft.    The  crown  is  broad  and  open  and  the  grayish,".  The  wood  is  used  for  boxes  and  crates,  pulpwood,  and  excelsior.  Black  Cottonwood  intergrades  with  its  northern  relative  Balsam  Poplar  where  both  meet  in  southern  Alaska  and  elsewhere.","Sun ,  Part  Shade ,  Shade",High,Moist,Apr,Yellow,Deciduous,L48,USA:,Stream  banks  &  a  variety  of  other  moist  sites  below  9000  ft.,Bees  collect  sticky  resin  on  buds  for  their  hives  and  seal  intruders  in  the  resin  to  prevent  decay  amd  protect  the  hive.,Description:,,"Seems  to  have  two  distinct  forms  Ã¢â¬â  one  coastal  and  one  inland.    A  very  large,  fast-growing,  sometimes  invasive",Capsule,Moist  soils.,OR
POGL8,Polypodium glycyrrhiza,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,Moist,,Not  Applicable,Evergreen,L48,USA:,Tree,,Description:,Not  a  flowering  plant.  Reproduces  by  spores.,,,Moist  soils.,OR
POIM,Polystichum imbricans,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,Dry,,Not  Applicable,Evergreen,L48,USA:,"Dry,  rocky,  thin  conifer  woods  or  open  places",,Description:,Not  a  flowering  plant.  Reproduces  by  spores.,Deer  proof.    Transplants  well  and  lends  a  look  of  lushness  to  the  woodland  garden.    Looks  best  planted  in  groups  or  drifts.,,"Dry,  rocky  soils.",OR
POMU,Polystichum munitum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,well  on  it's  own  but  plants  can  be  divided  in  fall.,"Part  Shade ,  Shade",High,Moist,,Brown,Evergreen,L48,USA:,Damp  conifer  woods  below  2500  ft.,,Description:,,This,,Various  moist  soils  but  tolerates  dry  conditions.,OR
POPU3,Polemonium pulcherrimum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,Dry,"May ,  Jun ,  Jul ,  Aug","Blue ,  Purple",,L48,USA:,"Dry,  rocky,  often  volcanic  mt.  slopes;  mesic  to  moist  shaded  places",,Description:,,"This  wildflower  has  a  pungent,  skunk-like  odor.",Capsule,"Dry,  rocky  to  richer,  moist  soils  .",OR
POSC4,Polypodium scouleri,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,Moist,,Not  Applicable,Evergreen,L48,USA:,"Exposed  cliffs,  banks  &",,Description:,Not  a  flowering  plant.  Reproduces  by  spores.,Thrives  in  salt  spray.    Considered  the  most  attractive  of  the  west  coast  polypodies  but  is  regarded  as  the  most  difficult  to  cultivate.,,Moist  soils.,OR
POSE,Poa secunda,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Part  Shade,Low,,"Apr ,  May",Yellow,,L48,USA:,"Open  or  partly  shaded  valleys,  hillsides  or  deserts  to  5000  ft.",,Description:,,"This  species  is  similar  to,  &  possibly  not  separate  from,  Poa  canbyi.    P.  canbyi  ranges  from  Yukon,  s.  to  most  of  CA,  e.  to  Alt.,  Isle  Royale,  MI,  WY  &  CO.",Caryopsis,Variable.,OR
